Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
19.78,19753136,19753166,0,-24,44,-1032
19.81,19753136,19816780,0,-20,36,-1036
19.82,19753136,19820787,0,-20,36,-1036
19.82,19753136,19824776,0,-16,36,-1036
19.82,19753136,19828790,0,-16,36,-1036
19.85,19753136,19852776,0,-16,40,-1040
19.85,19753136,19856880,0,-16,40,-1040
19.86,19753136,19860777,0,-16,40,-1040
19.86,19753136,19866946,0,-24,40,-1048
19.87,19753136,19872776,0,-24,40,-1048
19.87,19753136,19876767,0,-24,40,-1048
19.9,19753136,19904864,0,-28,36,-1040
19.9,19753136,19908880,0,-28,36,-1040
19.91,19753136,19912804,0,-28,36,-1040
19.91,19753136,19916787,0,-28,36,-1040
19.92,19753136,19920776,0,-28,36,-1040
19.92,19753136,19924777,0,-28,36,-1048
19.92,19753136,19928776,0,-28,36,-1048
19.95,19753136,19952776,0,-24,36,-1028
19.95,19753136,19956790,0,-24,36,-1028
19.96,19753136,19960777,0,-24,36,-1028
19.96,19753136,19964777,0,-16,40,-1052
19.96,19753136,19968777,0,-16,40,-1052
19.97,19753136,19972776,0,-16,40,-1052
19.97,19753136,19976791,0,-16,40,-1052
20,19753136,20000895,0,-24,40,-1036
20,19753136,20004807,0,-36,40,-1044
20,19753136,20008787,0,-36,40,-1044
20.01,19753136,20012790,0,-36,40,-1044
20.01,19753136,20016776,0,-36,40,-1044
20.02,19753136,20020776,0,-36,40,-1044
20.04,19753136,20044776,0,-28,36,-1028
20.05,19753136,20052776,0,-28,36,-1028
20.05,19753136,20056777,0,-28,36,-1028
20.06,19753136,20060777,0,-28,36,-1028
20.06,19753136,20064777,0,-28,40,-1040
20.06,19753136,20068771,0,-28,40,-1040
20.07,19753136,20072794,0,-28,40,-1040
20.09,19753136,20096869,0,-24,40,-1040
20.1,19753136,20100874,0,-24,40,-1040
20.1,19753136,20104780,0,-24,44,-1036
20.1,19753136,20108787,0,-24,44,-1036
20.11,19753136,20112776,0,-24,44,-1036
20.11,19753136,20116776,0,-24,44,-1036
20.14,19753136,20140776,0,-16,36,-1044
20.14,19753136,20144798,0,-24,40,-1036
20.14,19753136,20148777,0,-24,40,-1036
20.15,19753136,20152777,0,-24,40,-1036
20.15,19753136,20156777,0,-24,40,-1036
20.16,19753136,20160874,0,-24,40,-1036
20.16,19753136,20164837,0,-16,40,-1044
20.18,19753136,20188878,0,-24,32,-1032
20.19,19753136,20192864,0,-24,32,-1032
20.19,19753136,20196938,0,-24,32,-1032
20.2,19753136,20200787,0,-24,32,-1032
20.2,19753136,20208775,0,-24,32,-1036
20.21,19753136,20212776,0,-24,32,-1036
20.23,19753136,20236776,0,-24,36,-1036
20.24,19753136,20240777,0,-24,36,-1036
20.24,19753136,20244777,0,-24,44,-1036
20.24,19753136,20248776,0,-24,44,-1036
20.25,19753136,20252865,0,-24,44,-1036
20.25,19753136,20256776,0,-24,44,-1036
20.26,19753136,20260779,0,-24,44,-1036
20.28,19753136,20284815,0,-24,36,-1028
20.28,19753136,20288870,0,-24,36,-1028
20.29,19753136,20292929,0,-24,36,-1028
20.29,19753136,20296787,0,-24,36,-1028
20.3,19753136,20300787,0,-24,36,-1028
20.3,19753136,20304776,0,-28,40,-1032
20.3,19753136,20308777,0,-28,40,-1032
20.33,19753136,20332776,0,-20,36,-1020
20.33,19753136,20336777,0,-20,36,-1020
