Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
50.77,50749119,50749148,20,132,48,-1032
50.81,50749119,50812858,29,128,56,-1032
50.81,50749119,50816869,29,128,56,-1032
50.82,50749119,50824803,23,128,52,-1024
50.82,50749119,50828816,23,128,52,-1024
50.85,50749119,50852871,23,132,48,-1020
50.85,50749119,50856776,23,132,48,-1020
50.86,50749119,50860782,23,128,44,-1032
50.86,50749119,50864776,23,128,44,-1032
50.86,50749119,50868787,23,128,44,-1032
50.87,50749119,50872784,28,128,44,-1032
50.89,50749119,50896776,28,124,56,-1036
50.9,50749119,50900772,23,128,52,-1016
50.9,50749119,50904795,23,128,52,-1016
50.9,50749119,50908802,23,128,52,-1016
50.91,50749119,50912868,23,128,52,-1016
50.91,50749119,50916941,23,128,52,-1016
50.92,50749119,50920792,23,132,60,-1028
50.94,50749119,50944775,23,120,48,-1016
50.94,50749119,50948776,21,120,48,-1016
50.95,50749119,50952791,21,120,48,-1016
50.95,50749119,50956776,21,120,48,-1016
50.96,50749119,50960777,21,132,48,-1016
50.96,50749119,50964787,21,132,48,-1016
50.98,50749119,50988775,24,128,44,-1020
50.99,50749119,50992777,24,128,44,-1020
51,50749119,51000797,22,124,52,-1016
51,50749119,51004808,22,124,52,-1016
51,50749119,51008863,22,124,52,-1016
51.01,50749119,51012922,22,124,52,-1016
51.03,50749119,51036940,30,136,44,-1012
51.04,50749119,51040777,30,108,44,-1040
51.04,50749119,51044776,30,108,44,-1040
51.04,50749119,51048776,20,108,44,-1040
51.05,50749119,51052776,20,108,44,-1040
51.05,50749119,51056776,20,108,44,-1040
51.06,50749119,51060776,20,64,-104,-1020
51.08,50749119,51084776,24,-12,136,-1036
51.08,50749119,51088777,24,-12,136,-1036
51.09,50749119,51092780,24,-12,136,-1036
51.09,50749119,51096782,24,-12,136,-1036
51.1,50749119,51100799,24,-20,20,-1100
51.1,50749119,51104868,24,-20,20,-1100
51.12,50749119,51128944,24,92,44,-1020
51.13,50749119,51132787,24,92,44,-1020
51.13,50749119,51136794,24,92,44,-1020
51.14,50749119,51140776,24,16,-128,-892
51.14,50749119,51144776,24,16,-128,-892
51.15,50749119,51148777,23,16,-128,-892
51.15,50749119,51156797,23,16,-128,-892
51.18,50749119,51180878,25,160,420,-988
51.18,50749119,51184867,25,160,420,-988
51.18,50749119,51188777,25,160,420,-988
51.19,50749119,51192790,25,160,420,-988
51.19,50749119,51196801,25,160,420,-988
51.2,50749119,51200943,31,-192,-152,-828
51.22,50749119,51224786,24,-380,12,-1576
51.22,50749119,51228802,24,-380,12,-1576
51.23,50749119,51232777,24,-380,12,-1576
51.23,50749119,51236777,24,-380,12,-1576
51.24,50749119,51240777,24,0,28,-800
51.24,50749119,51244776,24,0,28,-800
51.26,50749119,51268776,25,164,164,-1024
51.27,50749119,51272777,25,164,164,-1024
51.27,50749119,51276777,25,164,164,-1024
51.28,50749119,51280777,25,-68,-192,-1184
51.28,50749119,51284769,25,-68,-192,-1184
51.28,50749119,51288792,25,-68,-192,-1184
51.29,50749119,51292819,25,-68,-192,-1184
51.31,50749119,51316917,31,-164,-140,-404
51.32,50749119,51320787,31,244,608,-1424
51.32,50749119,51327235,23,244,608,-1424
51.33,50749119,51332776,23,244,608,-1424
51.33,50749119,51336776,23,244,608,-1424
51.34,50749119,51340776,23,224,464,-1484
51.36,50749119,51364776,23,-280,176,-1704
51.36,50749119,51368777,23,-280,176,-1704
51.37,50749119,51372777,23,-280,176,-1704
51.37,50749119,51376780,20,-280,176,-1704
51.38,50749119,51380776,20,-280,176,-1704
51.38,50749119,51384793,20,-60,-152,-808
51.4,50749119,51408868,21,372,344,-500
51.41,50749119,51412925,21,372,344,-500
51.41,50749119,51416787,21,372,344,-500
51.42,50749119,51420787,21,372,344,-500
51.42,50749119,51424777,28,20,108,-1504
51.42,50749119,51428776,28,20,108,-1504
51.45,50749119,51452776,21,164,-276,-868
51.45,50749119,51456777,21,164,-276,-868
51.46,50749119,51460781,21,164,-276,-868
51.46,50749119,51464777,21,208,8,-1224
51.46,50749119,51468777,21,208,8,-1224
51.47,50749119,51472777,21,208,8,-1224
51.47,50749119,51476772,27,208,8,-1224
51.5,50749119,51503242,20,36,-104,-404
51.5,50749119,51508928,20,36,-104,-404
51.51,50749119,51512787,20,36,-104,-404
51.51,50749119,51516787,20,36,-104,-404
51.52,50749119,51520776,20,36,-104,-404
51.52,50749119,51524876,20,-204,-80,-716
51.65,50749119,51652779,18,124,-276,-604
51.65,50749119,51656777,18,124,-276,-604
51.66,50749119,51660777,18,124,-276,-604
51.66,50749119,51664776,18,208,64,-724
51.66,50749119,51668777,18,208,64,-724
51.67,50749119,51672780,18,208,64,-724
51.69,50749119,51696790,18,-172,192,-1384
51.7,50749119,51700818,18,-172,192,-1384
51.7,50749119,51704870,18,252,4,-1244
51.7,50749119,51708945,18,252,4,-1244
51.71,50749119,51712787,18,252,4,-1244
51.71,50749119,51716776,18,252,4,-1244
51.72,50749119,51720776,18,252,4,-1244
51.74,50749119,51744776,19,-28,-88,-1340
51.74,50749119,51748777,19,-28,-88,-1340
51.75,50749119,51752777,15,-28,-88,-1340
51.75,50749119,51756792,15,-28,-88,-1340
51.76,50749119,51763368,15,-308,240,-1008
51.76,50749119,51768775,15,-308,240,-1008
51.79,50749119,51792789,16,-400,740,-256
51.79,50749119,51796817,16,-400,740,-256
51.8,50749119,51800870,22,-400,740,-256
51.8,50749119,51804932,22,-464,156,-960
51.8,50749119,51808787,22,-464,156,-960
51.81,50749119,51812787,22,-464,156,-960
51.83,50749119,51836789,22,-324,276,-276
51.84,50749119,51840784,22,-324,276,-276
51.84,50749119,51844777,22,-164,-292,-800
51.84,50749119,51848777,22,-164,-292,-800
51.85,50749119,51852777,32,-164,-292,-800
51.85,50749119,51856883,32,-164,-292,-800
51.88,50749119,51884793,45,-8,-144,-312
51.88,50749119,51888789,45,-8,-144,-312
51.89,50749119,51892817,45,-8,-144,-312
51.89,50749119,51896869,45,-8,-144,-312
51.9,50749119,51900932,43,-8,-144,-312
51.9,50749119,51904788,43,-264,500,-1528
51.9,50749119,51908787,43,-264,500,-1528
51.93,50749119,51932775,40,500,152,-320
51.93,50749119,51936788,40,500,152,-320
51.94,50749119,51943354,40,500,152,-320
51.94,50749119,51948776,40,392,-44,-1912
51.95,50749119,51952777,34,392,-44,-1912
51.95,50749119,51956780,34,392,-44,-1912
51.98,50749119,51980788,33,-156,244,-1384
51.98,50749119,51985086,33,220,164,-932
51.98,50749119,51988860,33,220,164,-932
51.99,50749119,51992876,33,220,164,-932
51.99,50749119,51996779,33,220,164,-932
52,50749119,52000787,33,220,164,-932
52.02,50749119,52028786,21,396,200,-972
52.03,50749119,52032787,21,396,200,-972
52.03,50749119,52036777,21,396,200,-972
52.04,50749119,52040798,21,396,200,-972
52.04,50749119,52044861,21,-188,-260,-584
52.04,50749119,52048777,21,-188,-260,-584
52.05,50749119,52052777,17,-188,-260,-584
52.07,50749119,52076884,21,48,1244,-1316
52.08,50749119,52080784,21,48,1244,-1316
52.08,50749119,52085090,21,12,84,-132
52.08,50749119,52088868,21,12,84,-132
52.09,50749119,52092873,21,12,84,-132
52.09,50749119,52096780,21,12,84,-132
52.12,50749119,52123202,16,-84,-308,-1064
52.12,50749119,52128787,6,48,568,-1436
52.13,50749119,52132813,6,48,568,-1436
52.13,50749119,52136777,6,48,568,-1436
52.14,50749119,52140783,6,48,568,-1436
52.14,50749119,52144777,6,284,76,-960
52.14,50749119,52148776,6,284,76,-960
52.17,50749119,52172870,4,72,-44,-1432
52.17,50749119,52176778,4,72,-44,-1432
52.18,50749119,52180798,2,72,-44,-1432
52.18,50749119,52184861,2,280,556,-1616
52.18,50749119,52188940,2,280,556,-1616
52.19,50749119,52192942,2,280,556,-1616
52.21,50749119,52216775,6,-76,-264,-1708
52.22,50749119,52220776,6,-76,-264,-1708
52.22,50749119,52224787,6,-116,412,-1428
52.22,50749119,52228787,0,-116,412,-1428
52.23,50749119,52232780,0,-116,412,-1428
52.23,50749119,52236777,0,-116,412,-1428
52.24,50749119,52248776,0,-336,212,-340
52.26,50749119,52264862,10,-336,212,-340
52.26,50749119,52268873,10,-96,228,-1448
52.27,50749119,52272947,10,-96,228,-1448
52.27,50749119,52276798,10,-96,228,-1448
52.28,50749119,52284920,12,-96,228,-1448
52.28,50749119,52288802,12,-276,76,-1964
52.31,50749119,52312776,146,-332,428,-1092
52.31,50749119,52316877,146,-332,428,-1092
52.32,50749119,52320788,146,-332,428,-1092
52.32,50749119,52324777,146,-332,428,-1092
52.32,50749119,52328777,253,-676,128,-2040
52.33,50749119,52332777,253,-676,128,-2040
52.35,50749119,52356864,253,320,-60,-2040
52.36,50749119,52360875,253,320,-60,-2040
52.36,50749119,52364778,253,320,-60,-2040
52.36,50749119,52368798,253,-284,616,-1404
52.37,50749119,52372861,253,-284,616,-1404
52.37,50749119,52376870,253,-284,616,-1404
52.51,50749119,52512775,3,620,224,-1284
52.51,50749119,52516788,3,620,224,-1284
52.52,50749119,52520777,3,620,224,-1284
52.52,50749119,52524777,3,620,224,-1284
52.52,50749119,52528799,3,-16,-20,200
52.53,50749119,52532777,3,-16,-20,200
52.55,50749119,52556878,0,-368,-92,-688
52.56,50749119,52560940,0,-368,-92,-688
52.56,50749119,52564794,0,632,-604,-800
52.57,50749119,52572869,0,632,-604,-800
52.57,50749119,52576932,0,632,-604,-800
52.58,50749119,52580787,0,632,-604,-800
52.58,50749119,52584804,0,632,-604,-800
52.6,50749119,52608775,0,-420,160,-1428
52.61,50749119,52612784,0,-420,160,-1428
52.61,50749119,52616777,0,-420,160,-1428
52.62,50749119,52620777,0,-420,160,-1428
52.62,50749119,52624778,0,-420,160,-1428
52.62,50749119,52628790,0,-36,232,-1224
52.65,50749119,52652866,0,-176,48,-552
52.65,50749119,52656954,0,-176,48,-552
52.66,50749119,52660797,0,-176,48,-552
52.66,50749119,52664813,0,-176,48,-552
52.66,50749119,52668865,0,-620,-164,-1120
52.67,50749119,52672927,0,-620,-164,-1120
52.69,50749119,52696775,0,-240,-64,-1972
52.7,50749119,52700776,0,-240,-64,-1972
52.7,50749119,52704788,0,-240,-64,-1972
52.7,50749119,52708788,0,176,28,584
52.71,50749119,52712921,0,176,28,584
52.71,50749119,52716777,0,176,28,584
52.72,50749119,52720777,0,176,28,584
52.74,50749119,52748867,0,152,40,92
52.75,50749119,52752929,0,152,40,92
52.75,50749119,52756795,0,152,40,92
52.76,50749119,52760814,0,152,40,92
52.76,50749119,52764865,0,152,40,92
52.76,50749119,52768868,0,-692,368,-1732
52.77,50749119,52772787,0,-692,368,-1732
52.79,50749119,52796775,0,-252,356,-1372
52.8,50749119,52800777,0,-252,356,-1372
52.8,50749119,52804934,0,-252,356,-1372
52.8,50749119,52808777,0,-296,64,-276
52.81,50749119,52812791,0,-296,64,-276
52.81,50749119,52816777,0,-296,64,-276
52.84,50749119,52840813,0,60,164,-884
52.84,50749119,52844861,0,60,164,-884
52.84,50749119,52848990,0,272,416,-1904
52.85,50749119,52852788,0,272,416,-1904
52.85,50749119,52856816,0,272,416,-1904
52.86,50749119,52860867,0,272,416,-1904
52.86,50749119,52864930,0,272,416,-1904
52.88,50749119,52888776,0,-108,-560,-40
52.89,50749119,52892776,0,-108,-560,-40
52.89,50749119,52896787,0,-108,-560,-40
52.9,50749119,52904776,0,-108,-560,-40
52.9,50749119,52908777,0,-116,268,-1596
52.91,50749119,52912776,0,-116,268,-1596
52.93,50749119,52936797,0,-172,-36,-816
52.94,50749119,52940870,0,-172,-36,-816
52.94,50749119,52944875,0,-172,-36,-816
52.94,50749119,52949050,0,-40,148,-1332
52.95,50749119,52952799,0,-40,148,-1332
52.95,50749119,52956861,0,-40,148,-1332
52.98,50749119,52984776,0,-424,60,-1664
52.98,50749119,52988790,0,492,48,-864
52.99,50749119,52992776,0,492,48,-864
52.99,50749119,52996787,0,492,48,-864
53,50749119,53000787,0,492,48,-864
53,50749119,53004777,0,492,48,-864
53,50749119,53008777,0,256,220,-1480
53.03,50749119,53032798,0,-128,440,-632
53.03,50749119,53036857,0,-128,440,-632
53.04,50749119,53040869,0,-128,440,-632
53.04,50749119,53044779,0,-128,440,-632
53.04,50749119,53048798,0,-196,-172,-148
53.05,50749119,53052861,0,-196,-172,-148
53.08,50749119,53080800,0,-228,252,-980
53.08,50749119,53088776,0,-264,324,-1176
53.09,50749119,53092788,0,-264,324,-1176
53.09,50749119,53096777,0,-264,324,-1176
53.1,50749119,53100777,0,-264,324,-1176
53.1,50749119,53104777,0,-264,324,-1176
53.1,50749119,53108867,0,288,-384,-1168
53.13,50749119,53132867,0,-256,-104,-1380
53.13,50749119,53136932,0,-256,-104,-1380
53.14,50749119,53140796,0,-256,-104,-1380
53.14,50749119,53144810,0,-256,-104,-1380
53.14,50749119,53148866,0,-256,-104,-1380
53.15,50749119,53152884,0,52,100,-1440
53.17,50749119,53176775,0,-156,-144,-592
53.18,50749119,53180776,0,-156,-144,-592
53.18,50749119,53184776,0,-156,-144,-592
53.18,50749119,53188787,0,-156,-144,-592
53.19,50749119,53192777,0,-436,104,-980
53.19,50749119,53196777,0,-436,104,-980
53.22,50749119,53220797,0,16,48,-968
53.22,50749119,53224809,0,16,48,-968
53.22,50749119,53228866,0,16,48,-968
53.23,50749119,53232929,0,32,-316,-1056
53.23,50749119,53236794,0,32,-316,-1056
53.24,50749119,53244866,0,32,-316,-1056
53.24,50749119,53248939,0,32,-316,-1056
53.37,50749119,53376775,0,52,-12,-1804
53.38,50749119,53380776,0,52,-12,-1804
53.38,50749119,53384801,0,52,-12,-1804
53.38,50749119,53388777,0,52,-12,-1804
53.39,50749119,53392777,0,228,32,-840
53.39,50749119,53396777,0,228,32,-840
53.42,50749119,53420794,0,116,-56,-1268
53.42,50749119,53424861,0,116,-56,-1268
53.42,50749119,53428871,0,116,-56,-1268
53.43,50749119,53432946,0,112,128,-1484
53.43,50749119,53436798,0,112,128,-1484
53.44,50749119,53440879,0,112,128,-1484
53.44,50749119,53444866,0,112,128,-1484
53.46,50749119,53468789,0,108,-32,-1060
53.47,50749119,53472777,0,60,168,-1156
53.47,50749119,53476776,0,60,168,-1156
53.48,50749119,53480787,0,60,168,-1156
53.48,50749119,53484788,0,60,168,-1156
53.48,50749119,53488777,0,60,168,-1156
53.51,50749119,53512767,0,-16,120,-1080
53.51,50749119,53516791,0,-16,120,-1080
53.52,50749119,53524872,0,-16,120,-1080
53.52,50749119,53528947,0,-16,120,-1080
53.53,50749119,53532883,0,52,0,-1016
53.53,50749119,53536868,0,52,0,-1016
53.54,50749119,53540887,0,52,0,-1016
53.56,50749119,53564775,0,4,80,-1072
53.56,50749119,53568790,0,4,80,-1072
53.57,50749119,53572776,0,-32,48,-1044
53.57,50749119,53576787,0,-32,48,-1044
53.58,50749119,53580787,0,-32,48,-1044
53.58,50749119,53584777,0,-32,48,-1044
53.58,50749119,53588777,0,-32,48,-1044
53.61,50749119,53612788,0,-40,60,-1068
53.61,50749119,53616782,0,-40,60,-1068
53.62,50749119,53620867,0,-40,60,-1068
53.62,50749119,53624941,0,-40,60,-1068
53.62,50749119,53628791,0,-40,60,-1068
53.63,50749119,53632821,0,-40,112,-1036
53.65,50749119,53656775,0,-28,172,-1020
53.66,50749119,53660780,0,-28,172,-1020
53.66,50749119,53664776,0,-28,172,-1020
53.66,50749119,53668776,0,-28,172,-1020
53.67,50749119,53672777,0,-12,-220,-1016
53.68,50749119,53680776,0,-12,-220,-1016
53.7,50749119,53708776,0,16,72,-1052
53.71,50749119,53712889,0,-24,116,-1288
53.71,50749119,53716865,0,-24,116,-1288
53.72,50749119,53720934,0,-24,116,-1288
53.72,50749119,53724790,0,-24,116,-1288
53.72,50749119,53728817,0,-24,116,-1288
53.73,50749119,53733134,0,-32,32,-956
53.75,50749119,53756774,0,-140,172,-1104
53.76,50749119,53760776,0,-140,172,-1104
53.76,50749119,53764776,0,-140,172,-1104
53.76,50749119,53768776,0,-140,172,-1104
53.77,50749119,53772835,0,-148,40,-964
53.77,50749119,53776777,0,-148,40,-964
53.8,50749119,53800776,0,-76,48,-1016
53.8,50749119,53804769,0,-76,48,-1016
53.8,50749119,53808803,0,-76,48,-1016
53.81,50749119,53812907,0,-44,260,-1136
53.81,50749119,53816881,0,-44,260,-1136
53.82,50749119,53820780,0,-44,260,-1136
53.82,50749119,53824799,0,-44,260,-1136
53.84,50749119,53848775,0,-36,-20,-1100
53.85,50749119,53852776,0,-104,148,-1044
53.86,50749119,53860776,0,-104,148,-1044
53.86,50749119,53864795,0,-104,148,-1044
53.86,50749119,53868787,0,-104,148,-1044
53.87,50749119,53872783,0,-64,8,-836
53.89,50749119,53896776,0,-168,228,-1372
53.9,50749119,53900768,0,-168,228,-1372
53.9,50749119,53904797,0,-168,228,-1372
53.9,50749119,53908861,0,-168,228,-1372
53.91,50749119,53912872,0,-324,-44,-1336
53.91,50749119,53916777,0,-324,-44,-1336
53.94,50749119,53944776,0,-168,0,-1152
53.94,50749119,53948776,0,-168,0,-1152
53.95,50749119,53952776,0,-168,0,-1152
53.95,50749119,53956776,0,-176,104,-948
53.96,50749119,53960776,0,-176,104,-948
53.96,50749119,53964790,0,-176,104,-948
53.96,50749119,53968777,0,-176,104,-948
53.99,50749119,53992770,0,-188,-108,-656
53.99,50749119,53996799,0,-80,352,-1608
54,50749119,54000813,0,-80,352,-1608
54,50749119,54004865,0,-80,352,-1608
54,50749119,54008927,0,-80,352,-1608
