Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
22.88,22853119,22853148,0,128,60,-1020
22.91,22853119,22916776,0,140,60,-1028
22.92,22853119,22920777,0,140,60,-1028
22.92,22853119,22924777,0,140,56,-1024
22.92,22853119,22928790,0,140,56,-1024
22.95,22853119,22952863,0,132,56,-1040
22.95,22853119,22956929,0,132,56,-1040
22.96,22853119,22960793,0,132,56,-1040
22.96,22853119,22968864,0,132,56,-1036
22.97,22853119,22972937,0,132,56,-1036
22.97,22853119,22976787,0,132,56,-1036
23,22853119,23004775,0,136,60,-1032
23,22853119,23008785,0,136,60,-1032
23.01,22853119,23012777,0,136,60,-1032
23.01,22853119,23016777,0,136,60,-1032
23.02,22853119,23020777,0,136,60,-1032
23.02,22853119,23024777,0,124,56,-1020
23.02,22853119,23028777,0,124,56,-1020
23.05,22853119,23052776,0,124,48,-1020
23.05,22853119,23056800,0,124,48,-1020
23.06,22853119,23060859,0,124,48,-1020
23.06,22853119,23064866,0,132,56,-1036
23.06,22853119,23068938,0,132,56,-1036
23.07,22853119,23072787,0,132,56,-1036
23.07,22853119,23076785,0,132,56,-1036
23.1,22853119,23100786,0,128,56,-1028
23.1,22853119,23104821,0,128,60,-1044
23.1,22853119,23108777,0,128,60,-1044
23.11,22853119,23112783,0,128,60,-1044
23.11,22853119,23116777,0,128,60,-1044
23.12,22853119,23120777,0,128,60,-1044
23.14,22853119,23148944,0,132,56,-1024
23.15,22853119,23152795,0,132,56,-1024
23.15,22853119,23156857,0,132,56,-1024
23.16,22853119,23160876,0,132,56,-1024
23.16,22853119,23164781,0,136,56,-1024
23.16,22853119,23168787,0,136,56,-1024
23.17,22853119,23172777,0,136,56,-1024
23.19,22853119,23196786,0,128,60,-1020
23.2,22853119,23200777,0,128,60,-1020
23.2,22853119,23204785,0,140,60,-1028
23.2,22853119,23208777,0,140,60,-1028
23.21,22853119,23212777,0,140,60,-1028
23.21,22853119,23216777,0,140,60,-1028
23.24,22853119,23240869,0,136,56,-1028
23.24,22853119,23245048,0,132,56,-1024
23.24,22853119,23248795,0,132,56,-1024
23.25,22853119,23252860,0,132,56,-1024
23.25,22853119,23256867,0,132,56,-1024
23.26,22853119,23260871,0,132,56,-1024
23.26,22853119,23264787,0,128,52,-1032
23.28,22853119,23288933,0,128,60,-1036
23.29,22853119,23292787,0,128,60,-1036
23.29,22853119,23296787,0,128,60,-1036
23.3,22853119,23304807,0,132,52,-1020
23.3,22853119,23308777,0,132,52,-1020
23.31,22853119,23312777,0,132,52,-1020
23.33,22853119,23336868,0,132,56,-1028
23.34,22853119,23340942,0,132,56,-1028
23.34,22853119,23345090,0,128,56,-1032
23.34,22853119,23348858,0,128,56,-1032
23.35,22853119,23352875,0,128,56,-1032
23.35,22853119,23356778,0,128,56,-1032
23.36,22853119,23360801,0,128,56,-1032
23.38,22853119,23384775,0,124,56,-1024
23.38,22853119,23388794,0,124,56,-1024
23.39,22853119,23392777,0,124,56,-1024
23.39,22853119,23396777,0,124,56,-1024
23.4,22853119,23400777,0,124,56,-1024
23.4,22853119,23404777,0,128,56,-1036
23.4,22853119,23408776,0,128,56,-1036
23.43,22853119,23432927,0,132,56,-1024
23.43,22853119,23436944,0,132,56,-1024
23.44,22853119,23440807,0,132,56,-1024
23.44,22853119,23444870,0,136,52,-1024
23.44,22853119,23448923,0,136,52,-1024
23.45,22853119,23452801,0,136,52,-1024
23.48,22853119,23480778,0,128,52,-1032
23.48,22853119,23484787,0,128,52,-1032
23.48,22853119,23488777,0,136,56,-1036
23.49,22853119,23492777,0,136,56,-1036
23.49,22853119,23496778,0,136,56,-1036
23.5,22853119,23500867,0,136,56,-1036
23.5,22853119,23504777,0,136,56,-1036
23.52,22853119,23528790,0,128,56,-1032
23.53,22853119,23532796,0,128,56,-1032
23.53,22853119,23536806,0,128,56,-1032
23.54,22853119,23540865,0,128,56,-1032
23.54,22853119,23544881,0,128,56,-1032
23.54,22853119,23548785,0,128,56,-1028
23.57,22853119,23572775,0,136,56,-1028
23.57,22853119,23576776,0,136,56,-1028
23.58,22853119,23580788,0,136,56,-1028
23.58,22853119,23584777,0,136,56,-1028
23.58,22853119,23588777,0,124,52,-1032
23.59,22853119,23592777,0,124,52,-1032
23.59,22853119,23596777,0,124,52,-1032
23.62,22853119,23620864,0,132,48,-1028
23.62,22853119,23624926,0,132,48,-1028
23.63,22853119,23628812,0,136,52,-1032
23.63,22853119,23636877,0,136,52,-1032
23.64,22853119,23640936,0,136,52,-1032
23.64,22853119,23644787,0,136,52,-1032
23.77,22853119,23772775,0,136,56,-1020
23.77,22853119,23776792,0,136,56,-1020
23.78,22853119,23780777,0,136,56,-1020
23.78,22853119,23784780,0,136,56,-1020
23.78,22853119,23788777,0,136,56,-1024
23.79,22853119,23792777,0,136,56,-1024
23.79,22853119,23796777,0,136,56,-1024
23.82,22853119,23820866,0,132,52,-1024
23.82,22853119,23824939,0,132,52,-1024
23.82,22853119,23828792,0,132,56,-1028
23.83,22853119,23832920,0,132,56,-1028
23.83,22853119,23836871,0,132,56,-1028
23.84,22853119,23840792,0,132,56,-1028
23.85,22853119,23852775,0,136,56,-1032
23.86,22853119,23868775,0,128,48,-1028
23.87,22853119,23872787,0,128,48,-1028
23.87,22853119,23876789,0,128,48,-1028
23.88,22853119,23880777,0,128,48,-1028
23.88,22853119,23884777,0,128,48,-1028
23.89,22853119,23888793,0,124,56,-1032
23.91,22853119,23916878,0,132,60,-1048
23.92,22853119,23920785,0,132,60,-1048
23.92,22853119,23924792,0,132,60,-1048
23.92,22853119,23928866,0,128,52,-1020
23.93,22853119,23932880,0,128,52,-1020
23.93,22853119,23936778,0,128,52,-1020
23.94,22853119,23940787,0,128,52,-1020
23.96,22853119,23964775,0,128,52,-1024
23.96,22853119,23968787,0,124,56,-1032
23.97,22853119,23972788,0,124,56,-1032
23.97,22853119,23976777,0,124,56,-1032
23.98,22853119,23980777,0,124,56,-1032
23.98,22853119,23984777,0,124,56,-1032
24,22853119,24008863,0,136,60,-1032
24.01,22853119,24012874,0,136,60,-1032
24.01,22853119,24016793,0,136,60,-1032
24.02,22853119,24020798,0,136,60,-1032
24.02,22853119,24024861,0,136,60,-1032
24.02,22853119,24028878,0,128,56,-1020
24.03,22853119,24032781,0,128,56,-1020
24.05,22853119,24056775,0,128,48,-1024
24.06,22853119,24060779,0,128,48,-1024
24.06,22853119,24064787,0,128,48,-1024
24.07,22853119,24072776,0,132,56,-1032
24.07,22853119,24076777,0,132,56,-1032
24.08,22853119,24080791,0,132,56,-1032
24.1,22853119,24104862,0,136,56,-1032
24.1,22853119,24108801,0,132,52,-1024
24.11,22853119,24112787,0,132,52,-1024
24.11,22853119,24116812,0,132,52,-1024
24.12,22853119,24120868,0,132,52,-1024
24.12,22853119,24124872,0,132,52,-1024
24.12,22853119,24128776,0,128,48,-1012
24.15,22853119,24152788,0,136,60,-1024
24.15,22853119,24156776,0,136,60,-1024
24.16,22853119,24160787,0,136,60,-1024
24.16,22853119,24164777,0,136,60,-1024
24.16,22853119,24168794,0,132,52,-1024
24.17,22853119,24172777,0,132,52,-1024
24.2,22853119,24200859,0,132,60,-1024
24.2,22853119,24204871,0,132,60,-1024
24.2,22853119,24209046,0,128,56,-1032
24.21,22853119,24212793,0,128,56,-1032
24.21,22853119,24216822,0,128,56,-1032
24.22,22853119,24220861,0,128,56,-1032
24.22,22853119,24224935,0,128,56,-1032
24.25,22853119,24252775,0,128,52,-1020
24.25,22853119,24256787,0,128,52,-1020
24.26,22853119,24260787,0,128,52,-1020
24.26,22853119,24264803,0,128,52,-1020
24.26,22853119,24268778,0,128,48,-1024
24.27,22853119,24272776,0,128,48,-1024
24.27,22853119,24276777,0,128,48,-1024
24.3,22853119,24300868,0,128,52,-1032
24.3,22853119,24304930,0,128,52,-1032
24.3,22853119,24308792,0,124,56,-1016
24.31,22853119,24312860,0,124,56,-1016
24.31,22853119,24316867,0,124,56,-1016
24.32,22853119,24320940,0,124,56,-1016
24.34,22853119,24344775,0,128,52,-1032
24.34,22853119,24348776,0,132,48,-1028
24.35,22853119,24352787,0,132,48,-1028
24.35,22853119,24356867,0,132,48,-1028
24.36,22853119,24360777,0,132,48,-1028
24.36,22853119,24364780,0,132,48,-1028
24.36,22853119,24368777,0,128,52,-1008
24.39,22853119,24392867,0,128,56,-1016
24.39,22853119,24396877,0,128,56,-1016
24.4,22853119,24400784,0,128,56,-1016
24.4,22853119,24408862,0,132,52,-1020
24.41,22853119,24412878,0,132,52,-1020
24.41,22853119,24416782,0,132,52,-1020
24.44,22853119,24440775,0,132,48,-1024
24.44,22853119,24444777,0,132,48,-1024
24.44,22853119,24448788,0,132,48,-1024
24.45,22853119,24452777,0,124,56,-1028
24.45,22853119,24456791,0,124,56,-1028
24.46,22853119,24460777,0,124,56,-1028
24.46,22853119,24464777,0,124,56,-1028
24.48,22853119,24488866,0,132,48,-1016
24.49,22853119,24492945,0,132,48,-1024
24.49,22853119,24496794,0,132,48,-1024
24.5,22853119,24500856,0,132,48,-1024
24.5,22853119,24504809,0,132,48,-1024
24.5,22853119,24508937,0,132,48,-1024
24.64,22853119,24644786,0,128,52,-1028
24.64,22853119,24648777,0,128,52,-1028
24.65,22853119,24652777,0,132,60,-1024
24.65,22853119,24656777,0,132,60,-1024
24.66,22853119,24660818,0,132,60,-1024
24.66,22853119,24664777,0,132,60,-1024
24.67,22853119,24668779,0,132,60,-1024
24.69,22853119,24696821,0,128,56,-1036
24.7,22853119,24700871,0,128,56,-1036
24.7,22853119,24704957,0,128,56,-1036
24.7,22853119,24708788,0,128,56,-1036
24.71,22853119,24712777,0,128,52,-1032
24.71,22853119,24716791,0,128,52,-1032
24.72,22853119,24720776,0,128,52,-1032
24.74,22853119,24744775,0,132,48,-1024
24.74,22853119,24748777,0,132,48,-1024
24.75,22853119,24752777,0,128,56,-1028
24.75,22853119,24756777,0,128,56,-1028
24.76,22853119,24760780,0,128,56,-1028
24.76,22853119,24764780,0,128,56,-1028
24.78,22853119,24788799,0,128,56,-1012
24.79,22853119,24792814,0,136,52,-1020
24.79,22853119,24796865,0,136,52,-1020
24.8,22853119,24800927,0,136,52,-1020
24.8,22853119,24804787,0,136,52,-1020
24.8,22853119,24808812,0,136,52,-1020
24.81,22853119,24812777,0,124,56,-1024
24.83,22853119,24836786,0,132,52,-1028
24.84,22853119,24840777,0,132,52,-1028
24.84,22853119,24844944,0,132,52,-1028
24.85,22853119,24852776,0,132,52,-1032
24.85,22853119,24856777,0,132,52,-1032
24.86,22853119,24860776,0,132,52,-1032
24.88,22853119,24884795,0,136,56,-1032
24.88,22853119,24888805,0,136,56,-1032
24.89,22853119,24892879,0,128,52,-1028
24.89,22853119,24896919,0,128,52,-1028
24.9,22853119,24900787,0,128,52,-1028
24.9,22853119,24904787,0,128,52,-1028
24.9,22853119,24908780,0,128,52,-1028
24.93,22853119,24932787,0,136,48,-1036
24.93,22853119,24936802,0,136,48,-1036
24.94,22853119,24940777,0,136,48,-1036
24.94,22853119,24944777,0,136,48,-1036
24.94,22853119,24948777,0,136,48,-1036
24.95,22853119,24952777,0,132,44,-1024
24.97,22853119,24976865,0,132,56,-1028
24.98,22853119,24980927,0,132,56,-1028
24.98,22853119,24984808,0,132,56,-1028
24.98,22853119,24988814,0,132,56,-1028
24.99,22853119,24992874,0,140,52,-1016
24.99,22853119,24996928,0,140,52,-1016
25,22853119,25000787,0,140,52,-1016
25.02,22853119,25028775,0,128,52,-1020
25.03,22853119,25032788,0,132,64,-1024
25.03,22853119,25036777,0,132,64,-1024
25.04,22853119,25040777,0,132,64,-1024
25.04,22853119,25044778,0,132,64,-1024
25.04,22853119,25048777,0,132,64,-1024
25.07,22853119,25076937,0,140,52,-1036
25.08,22853119,25080799,0,140,52,-1036
25.08,22853119,25084933,0,140,52,-1036
25.08,22853119,25088868,0,140,52,-1036
25.09,22853119,25093196,0,132,52,-1024
25.09,22853119,25096786,0,132,52,-1024
25.1,22853119,25100787,0,132,52,-1024
25.12,22853119,25124775,0,144,56,-1028
25.12,22853119,25128788,0,144,56,-1028
25.13,22853119,25132777,0,132,52,-1040
25.13,22853119,25136777,0,132,52,-1040
25.14,22853119,25140777,0,132,52,-1040
25.14,22853119,25144777,0,132,52,-1040
25.14,22853119,25148777,0,132,52,-1040
25.17,22853119,25172993,0,136,60,-1016
25.17,22853119,25176945,0,136,60,-1016
25.18,22853119,25180796,0,136,60,-1016
25.18,22853119,25188864,0,136,60,-1016
