Time (seconds),Lock,Running Time,Light,Acceleration x,Acceleration y,Acceleration z
57.6,57573112,57573141,155,124,36,-1036
57.63,57573112,57636759,157,120,36,-1028
57.64,57573112,57644859,157,124,44,-1032
57.64,57573112,57648945,156,124,44,-1032
57.65,57573112,57652794,156,124,44,-1032
57.67,57573112,57676868,157,132,36,-1020
57.68,57573112,57680775,157,132,36,-1020
57.68,57573112,57684778,157,132,32,-1012
57.68,57573112,57688775,157,132,32,-1012
57.69,57573112,57692775,157,132,32,-1012
57.69,57573112,57696786,157,132,32,-1012
57.72,57573112,57720775,157,116,40,-1028
57.72,57573112,57724777,159,120,48,-1028
57.72,57573112,57728769,159,120,48,-1028
57.73,57573112,57732789,159,120,48,-1028
57.73,57573112,57736808,159,120,48,-1028
57.74,57573112,57740871,159,120,48,-1028
57.76,57573112,57764777,157,128,36,-1040
57.76,57573112,57768787,157,128,36,-1040
57.77,57573112,57772776,157,128,36,-1040
57.77,57573112,57776790,156,128,36,-1040
57.78,57573112,57780776,156,128,36,-1040
57.78,57573112,57784776,156,128,32,-1032
57.81,57573112,57812775,159,124,28,-1024
57.81,57573112,57816777,159,124,28,-1024
57.82,57573112,57824764,157,128,32,-1028
57.82,57573112,57828791,157,128,32,-1028
57.83,57573112,57832832,157,128,32,-1028
57.83,57573112,57836870,157,128,32,-1028
57.84,57573112,57840932,157,128,32,-1028
57.86,57573112,57864785,156,124,36,-1028
57.86,57573112,57868775,156,124,36,-1028
57.87,57573112,57872775,156,124,36,-1028
57.87,57573112,57876775,156,124,36,-1028
57.88,57573112,57880775,156,124,36,-1028
57.88,57573112,57884776,156,124,44,-1032
57.9,57573112,57908789,157,120,32,-1012
57.91,57573112,57912776,157,120,32,-1012
57.91,57573112,57916776,157,120,32,-1012
57.92,57573112,57920774,157,120,32,-1012
57.92,57573112,57924868,157,124,36,-1016
57.92,57573112,57928797,157,124,36,-1016
57.95,57573112,57952864,157,124,32,-1036
57.95,57573112,57956935,157,124,32,-1036
57.96,57573112,57960785,157,124,32,-1036
57.96,57573112,57964775,157,128,44,-1032
57.96,57573112,57968775,157,128,44,-1032
57.97,57573112,57972775,157,128,44,-1032
58,57573112,58004812,157,124,40,-1020
58,57573112,58008864,157,124,40,-1020
58.01,57573112,58012776,157,124,40,-1020
58.01,57573112,58016776,157,124,40,-1020
58.02,57573112,58020762,157,124,40,-1020
58.02,57573112,58024861,157,128,40,-1024
58.02,57573112,58028813,156,128,40,-1024
58.05,57573112,58052879,157,128,32,-1032
58.05,57573112,58056780,157,128,32,-1032
58.06,57573112,58060786,157,128,32,-1032
58.06,57573112,58064776,157,124,36,-1024
58.06,57573112,58068776,157,124,36,-1024
58.07,57573112,58072775,157,124,36,-1024
58.09,57573112,58096775,156,128,40,-1036
58.1,57573112,58100878,159,128,40,-1036
58.1,57573112,58104776,159,128,36,-1024
58.1,57573112,58108778,159,128,36,-1024
58.11,57573112,58112776,159,128,36,-1024
58.11,57573112,58116773,159,128,36,-1024
58.14,57573112,58140808,159,132,40,-1032
58.14,57573112,58144860,159,132,24,-1020
58.14,57573112,58148930,159,132,24,-1020
58.15,57573112,58155227,155,132,24,-1020
58.16,57573112,58160774,155,132,24,-1020
58.16,57573112,58164865,155,136,40,-1012
58.18,57573112,58188775,156,124,40,-1032
58.19,57573112,58192776,156,124,40,-1032
58.19,57573112,58196776,156,124,40,-1032
58.2,57573112,58200777,157,124,40,-1032
58.2,57573112,58204776,157,124,40,-1032
58.2,57573112,58208775,157,120,36,-1024
58.21,57573112,58212762,157,120,36,-1024
58.23,57573112,58236821,157,128,36,-1032
58.24,57573112,58240870,157,128,36,-1032
58.24,57573112,58244933,157,128,36,-1032
58.24,57573112,58248786,157,128,36,-1032
58.25,57573112,58252776,157,128,36,-1032
58.25,57573112,58256876,157,128,36,-1032
58.28,57573112,58280787,157,124,36,-1028
58.28,57573112,58284946,157,124,36,-1028
58.28,57573112,58288777,157,124,44,-1024
58.29,57573112,58292777,157,124,44,-1024
58.29,57573112,58296777,157,124,44,-1024
58.3,57573112,58300777,157,124,44,-1024
58.32,57573112,58324944,157,124,36,-1024
58.33,57573112,58332867,156,128,36,-1024
58.33,57573112,58336875,156,128,36,-1024
58.34,57573112,58340779,156,128,36,-1024
58.34,57573112,58344786,156,128,36,-1024
58.34,57573112,58348775,156,124,44,-1020
58.47,57573112,58476776,157,124,36,-1032
58.48,57573112,58480776,157,124,36,-1032
58.48,57573112,58484776,157,124,36,-1032
58.48,57573112,58488776,157,120,32,-1032
58.49,57573112,58492776,157,120,32,-1032
58.49,57573112,58496775,157,120,32,-1032
58.5,57573112,58500763,157,120,32,-1032
58.52,57573112,58524804,159,120,36,-1032
58.52,57573112,58528868,157,120,40,-1020
58.53,57573112,58532933,157,120,40,-1020
58.53,57573112,58536786,157,120,40,-1020
58.54,57573112,58540803,157,120,40,-1020
58.54,57573112,58544775,157,120,40,-1020
58.56,57573112,58568785,157,128,40,-1040
58.57,57573112,58572776,157,128,40,-1040
58.57,57573112,58576776,157,128,40,-1040
58.58,57573112,58580799,156,128,40,-1040
58.58,57573112,58584776,156,128,40,-1040
58.59,57573112,58592775,156,124,36,-1020
58.61,57573112,58616791,156,124,28,-1032
58.62,57573112,58620816,156,124,28,-1032
58.62,57573112,58624868,156,124,28,-1032
58.62,57573112,58628931,156,120,32,-1032
58.63,57573112,58632786,156,120,32,-1032
58.63,57573112,58636786,156,120,32,-1032
58.66,57573112,58660788,156,124,32,-1036
58.66,57573112,58664776,156,124,32,-1036
58.66,57573112,58668776,156,128,40,-1028
58.67,57573112,58672776,156,128,40,-1028
58.67,57573112,58676776,156,128,40,-1028
58.68,57573112,58680922,160,128,40,-1028
58.68,57573112,58684775,160,128,40,-1028
58.7,57573112,58708789,160,120,36,-1032
58.71,57573112,58712804,160,120,36,-1032
58.71,57573112,58716862,160,120,36,-1032
58.72,57573112,58720918,160,120,36,-1032
58.72,57573112,58724786,160,120,36,-1032
58.72,57573112,58728786,159,128,44,-1024
58.75,57573112,58752786,157,128,36,-1024
58.75,57573112,58756786,157,128,36,-1024
58.76,57573112,58760776,157,128,36,-1024
58.76,57573112,58768817,157,124,40,-1008
58.77,57573112,58772776,157,124,40,-1008
58.77,57573112,58776776,157,124,40,-1008
58.8,57573112,58800930,156,120,40,-1020
58.8,57573112,58804793,156,120,40,-1020
58.8,57573112,58809086,156,128,36,-1032
58.81,57573112,58812862,156,128,36,-1032
58.81,57573112,58816941,156,128,36,-1032
58.82,57573112,58820786,156,128,36,-1032
58.84,57573112,58844774,156,124,36,-1028
58.84,57573112,58848775,156,124,44,-1024
58.85,57573112,58852787,156,124,44,-1024
58.85,57573112,58856776,156,124,44,-1024
58.86,57573112,58860776,156,124,44,-1024
58.86,57573112,58864790,156,124,44,-1024
58.86,57573112,58868868,156,132,40,-1028
58.89,57573112,58892861,157,124,32,-1032
58.89,57573112,58896924,157,124,32,-1032
58.9,57573112,58900798,157,124,32,-1032
58.9,57573112,58904855,156,124,32,-1032
58.9,57573112,58909132,156,128,36,-1016
58.91,57573112,58912776,156,128,36,-1016
58.93,57573112,58939217,156,124,40,-1028
58.94,57573112,58944785,156,124,40,-1028
58.94,57573112,58948783,156,124,36,-1024
58.95,57573112,58952776,156,124,36,-1024
58.95,57573112,58956797,155,124,36,-1024
58.96,57573112,58960776,155,124,36,-1024
58.98,57573112,58984868,156,120,44,-1040
58.98,57573112,58989141,156,124,32,-1028
58.99,57573112,58992796,156,124,32,-1028
58.99,57573112,58996804,156,124,32,-1028
59,57573112,59000868,156,124,32,-1028
59,57573112,59004919,159,124,32,-1028
59.02,57573112,59028799,157,132,32,-1036
59.03,57573112,59032776,157,132,32,-1036
59.03,57573112,59036787,157,132,32,-1036
59.04,57573112,59040777,157,132,32,-1036
59.04,57573112,59044777,157,132,32,-1036
59.04,57573112,59048777,157,124,36,-1036
59.05,57573112,59052776,157,124,36,-1036
59.07,57573112,59076864,157,124,36,-1012
59.08,57573112,59080920,156,124,36,-1012
59.08,57573112,59084790,156,124,36,-1012
59.09,57573112,59088807,156,124,36,-1012
59.09,57573112,59096939,156,124,40,-1020
59.1,57573112,59100786,156,124,40,-1020
59.12,57573112,59124774,160,128,32,-1024
59.12,57573112,59128786,160,128,32,-1024
59.13,57573112,59132783,157,124,32,-1036
59.13,57573112,59136776,157,124,32,-1036
59.14,57573112,59140869,157,124,32,-1036
59.14,57573112,59144776,157,124,32,-1036
59.16,57573112,59168863,160,128,32,-1024
59.17,57573112,59172874,160,124,40,-1020
59.17,57573112,59176777,160,124,40,-1020
59.18,57573112,59180798,159,124,40,-1020
59.18,57573112,59184860,159,124,40,-1020
59.18,57573112,59188866,159,124,40,-1020
59.32,57573112,59324774,160,120,32,-1024
59.32,57573112,59328786,160,120,32,-1024
